contigName	contigLen	totalAvgDepth	sorted_for_coverage.bam	sorted_for_coverage.bam-var
k141_5486	1146	2.93876	2.93876	3.13696
k141_3890	1360	1.8438	1.8438	3.17575
k141_7310	1371	4.47748	4.47748	12.7858
k141_1603	1039	1.28459	1.28459	0.613738
k141_2290	1829	993.702	993.702	2.34451e+06
k141_8450	1132	1.48574	1.48574	1.32039
k141_9134	1184	10.6799	10.6799	63.2595
k141_10046	1295	206.344	206.344	9762.72
k141_4118	1111	1.6514	1.6514	4.28144
k141_4574	1136	1.88235	1.88235	1.58614
k141_5030	1103	5.12487	5.12487	30.559
k141_6855	1181	4.34239	4.34239	12.5224
k141_6398	1524	3.91048	3.91048	6.4676
k141_3207	1003	1.7163	1.7163	3.77386
k141_10731	1108	4.94885	4.94885	6.58775
k141_4347	1025	2.93486	2.93486	3.17996
k141_12098	2527	4.12747	4.12747	7.53224
k141_4804	1234	9.97232	9.97232	47.0964
k141_2749	1723	2.68659	2.68659	3.04356
k141_13466	1920	4.11186	4.11186	9.19158
k141_3892	1458	5.39755	5.39832	17.5711
k141_12556	1104	4.84591	4.84591	13.3267
k141_10732	1014	61.9711	61.9711	2099.32
k141_6856	1343	61.9128	61.9128	546.387
k141_8907	1911	2.11073	2.11073	2.62238
k141_687	3140	38.0699	38.0699	727.815
k141_14150	2492	4.50256	4.50256	25.9502
k141_1604	1249	3.85077	3.85077	2.77006
k141_7768	1004	5.32787	5.32787	30.5442
k141_10274	1959	84.3709	84.3709	7636.85
k141_6857	1038	3.05068	3.05068	2.57805
k141_9591	1684	15.693	15.693	232.867
k141_2750	1496	124.825	124.825	996.159
k141_7312	1375	4.95347	4.95347	18.7667
k141_4576	1629	9.75389	9.75389	31.6634
k141_2292	1342	1.99245	1.99245	5.99399
k141_12100	1344	95.7529	95.7529	11105.3
k141_8224	3713	8692.8	8692.8	5.03229e+07
k141_688	1081	4.50054	4.50054	5.35562
k141_4120	2407	65.9282	65.9282	2229.78
k141_4348	2348	61.8312	61.8312	3605.52
k141_230	3624	31.6802	31.6802	231.437
k141_5259	3537	65.096	65.096	7991.96
k141_9138	1619	2.80259	2.80259	5.3888
k141_458	1056	2.60596	2.60596	5.5407
k141_3893	2839	533.719	533.719	2.5657e+06
k141_7082	2502	8.34864	8.34864	164.726
k141_1374	4171	39.8376	39.8376	687.377
k141_9592	1247	1.94622	1.94622	1.71883
k141_7313	1154	2.40239	2.40239	8.20688
k141_13926	2735	46.2058	46.2058	707.873
k141_8678	3691	30.7221	30.7221	203.069
k141_12558	1345	20.1046	20.1046	382.49
k141_9821	1376	33.7178	33.7178	160.18
k141_8453	3330	98.3893	98.3893	853.212
k141_4578	1224	4.08194	4.08194	4.79103
k141_231	1155	1.56517	1.56517	1.82571
k141_13697	2915	73.0018	73.0018	4385.4
